B1;B4;B7;B10;B13;B16;B19;B22;B25;B28;B31
;Sparite;Brachiopod;Sparite;Brachiopod;Micrite;Microbe;Brachiopod;Microbe;Bryozoan;Sparite
;Micrite;Sparite;Sparite;Brachiopod;Tabulate Coral_Oncoid;Microbe;Microbe;Microbe;Bryozoan;Stromatoporoid
;Micrite;Crinoid;Micrite;Micrite;Crinoid;;Microbe;Microbe;Microbe;Stromatoporoid
Micrite;Sparite;Sparite;Brachiopod;Micrite;Brachiopod;;Stromatoporoid;Microbe;Allonema;Stromatoporoid
Micrite;Sparite;Bryozoan;Sparite;Brachiopod;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Allonema;Micrite
Brachiopod;Sparite;Micrite;Sparite;Bryozoan;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Allonema;Sparite
Micrite;Trilobite;Sparite;Micrite;Crinoid;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Micrite
Bivalve;Sparite;Crinoid;Micrite;Crinoid;Tabulate Coral_Oncoid;;Stromatoporoid;?;Microbe;Micrite
Micrite;Sparite;Brachiopod;Micrite;Crinoid;Tabulate Coral_Oncoid;;Stromatoporoid;Microbe;Microbe;Micrite
Micrite;Sparite;Brachiopod;Micrite;Sparite;Micrite;;Stromatoporoid;Micrite;Bryozoan;Micrite
Micrite;Micrite;Brachiopod;;Sparite;Micrite;;Stromatoporoid;;Microbe;?
